# Width: 46
# Height: 23

@LEVEL START
0000000000000000000000000000000000000000000000
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0                                            0
0000000000000000000000000000000000000000000000
@LEVEL END
